counter,SenderResponse1a,SenderResponse1b,SenderResponse2a,SenderResponse2b,SenderResponse3a,SenderResponse3b,SenderResponse4a,SenderResponse4b,SenderResponse5a,SenderResponse5b,SenderResponse6a,SenderResponse6b,SenderResponse7a,SenderResponse7b,SenderResponse8a,SenderResponse8b,SenderResponse9a,SenderResponse9b,SenderResponse10a,SenderResponse10b,SenderResponse11a,SenderResponse11b
79,1.0,51.0,1.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,95.0,1000.0,1000.0,1000.0,1000.0
80,2.0,59.0,1.0,1000.0,1000.0,1000.0,2.0,1000.0,2.0,55.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,98.0,1000.0,1000.0,1.0,1000.0
81,2.0,95.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,66.0,2.0,1000.0,1000.0,1000.0,1.0,94.0
82,1000.0,1000.0,2.0,20.0,1.0,80.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
83,2.0,1000.0,1.0,1000.0,2.0,10.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,66.0,2.0,12.0,1000.0,1000.0,1000.0,1000.0
84,2.0,48.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1.0,49.0,1000.0,1000.0
85,1.0,1000.0,2.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,32.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0
86,1.0,1000.0,1000.0,1000.0,2.0,26.0,1.0,1000.0,1000.0,1000.0,2.0,10.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
87,1000.0,1000.0,1000.0,1000.0,1.0,49.0,1.0,1000.0,1000.0,1000.0,2.0,41.0,1000.0,1000.0,2.0,1000.0,1.0,41.0,1000.0,1000.0,1000.0,1000.0
88,1000.0,1000.0,1.0,92.0,2.0,1000.0,1.0,1000.0,1.0,95.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
